# Table.txt - Bend table example data file
# Start comment and blank lines with #
# All units are in millimeters and degrees for this example
#
# The format for a table entry is:
# Material Thickness, Bend Radius, Bend Angle, Length of bend in the flat
# Each each value must be seperated by a comma.
#
# Add/define all values for a one thickness before adding values for a new thickness.
#
# NOTE1: These values are for example use only. Supply your own values as needed.
#
# NOTE2: You can have as many thickness tables as you need but the maximum number of
#        table entries per thickness is 25. To change this limit you will need to edit
#        the VB program example. 
#
# NOTE3: The decimal symbol character must be a point (.) character.
#        Regional settings for the computer are not supported for this file.
# 
0.50, 0.75, 90, 1.437
0.50, 1.00, 90, 1.830
0.50, 1.50, 90, 2.615
0.50, 2.00, 90, 3.401
#
0.75, 0.75, 90, 1.570
0.75, 1.00, 90, 1.960
0.75, 1.50, 90, 2.745
0.75, 2.00, 90, 3.530
#
1.00, 0.75, 90, 1.696
1.00, 1.00, 90, 2.089
1.00, 1.50, 90, 2.875
1.00, 2.00, 90, 3.660
#
1.50, 0.75, 90, 1.956
1.50, 1.00, 90, 2.348
1.50, 1.50, 90, 3.134
1.50, 2.00, 90, 3.919
#
2.00, 0.75, 90, 2.215
2.00, 1.00, 90, 2.608
2.00, 1.50, 90, 3.393
2.00, 2.00, 90, 4.178
#
2.50, 0.75, 90, 2.474
2.50, 1.00, 90, 2.867
2.50, 1.50, 90, 3.652
2.50, 2.00, 90, 4.437
#
3.00, 1.00, 90, 3.126
3.00, 2.00, 90, 4.697
3.00, 3.00, 90, 6.627
