# Table.txt - Bend table example data file
# Start comment and blank lines with #
# All units are in inches and degrees for this example
#
# The format for a table entry is:
# Material Thickness, Bend Radius, Bend Angle, Length of bend in the flat
# with each value seperated by a comma.
#
# Add/define all values for a one thickness before adding values for a new thickness.
#
# NOTE1: These values are for example use only. Supply your own values as needed.
#
# NOTE2: You can have as many thickness tables as you need but the maximum number of
#        table entries per thickness is 25. To change this limit you will need to edit
#        the VB program example. 
#
# NOTE3: The decimal symbol character must be a point (.) character.
#        Regional settings for the computer are not supported for this file.
# 
0.016, 0.031, 90, 0.057
0.016, 0.047, 90, 0.082
0.016, 0.062, 90, 0.106
0.016, 0.094, 90, 0.156
#
0.031, 0.031, 90, 0.065
0.031, 0.047, 90, 0.091
0.031, 0.062, 90, 0.115
0.031, 0.094, 90, 0.164
#
0.047, 0.031, 90, 0.075
0.047, 0.047, 90, 0.1
0.047, 0.062, 90, 0.124
0.047, 0.094, 90, 0.173
#
0.062, 0.031, 90, 0.083
0.062, 0.047, 90, 0.108
0.062, 0.062, 90, 0.132
0.062, 0.094, 90, 0.181
#
0.078, 0.031, 90, 0.092
0.078, 0.047, 90, 0.17
0.078, 0.062, 90, 0.141
0.078, 0.094, 90, 0.19
#
0.094, 0.031, 90, 0.101
0.094, 0.047, 90, 0.126
0.094, 0.062, 90, 0.15
0.094, 0.094, 90, 0.199
#
0.100, 0.050, 90, 0.130
0.100, 0.100, 90, 0.209
0.100, 0.200, 90, 0.366
